1 A 51 A 101 A
2 B 52 A 102 D
3 A 53 C 103 C
4 D 54 B 104 A
5 B 55 D 105 B
6 C 56 B 106 A
7 B 57 B 107 B
8 B 58 C 108 B
9 D 59 A 109 B
10 C 60 A 110 C
11 B 61 B 111 D
12 A 62 C 112 D
13 B 63 D 113 B
14 A 64 B 114 C
15 A 65 B 115 B
16 B 66 C 116 C
17 C 67 C 117 D
18 B 68 A 118 D
19 C 69 D 119 C
20 C 70 C 120 C
21 A 71 A 121 D
22 A 72 B 122 B
23 B 73 C 123 B
24 A 74 B 124 C
25 C 75 A 125 B
26 A 76 A 126 A
27 D 77 D 127 C
28 C 78 A 128 A
29 A 79 C 129 C
30 C 80 B 130 B
31 A 81 A 131 A
32 C 82 A 132 D
33 D 83 A 133 B
34 C 84 B 134 C
35 A 85 C 135 C
36 D 86 A 136 A
37 B 87 A 137 D
38 B 88 A 138 B
39 B 89 C 139 D
40 B 90 C 140 B
41 A 91 A 141 C
42 C 92 B 142 B
43 A 93 B 143 C
44 C 94 B 144 C
45 B 95 B 145 C
46 C 96 C 146 C
47 A 97 C 147 B
48 C 98 C 148 A
49 A 99 C 149 C
50 C 100 A 150 C
  lfEefyr jkT; flfoy@izoj v/khuLFk lsok ¼izkjfEHkd½ ijh{kk&2025
izFke iz'ui=& lkekU; v/;;u
Provisional Answer Key Series A
1 A 51 C 101 C
2 C 52 B 102 B
3 A 53 A 103 A
4 C 54 A 104 D
5 D 55 A 105 B
6 C 56 B 106 C
7 A 57 C 107 C
8 D 58 A 108 A
9 B 59 A 109 D
10 C 60 A 110 A
11 B 61 C 111 D
12 B 62 C 112 B
13 A 63 A 113 C
14 C 64 B 114 B
15 A 65 B 115 C
16 C 66 B 116 C
17 B 67 B 117 C
18 B 68 C 118 C
19 A 69 C 119 B
20 C 70 C 120 A
21 A 71 A 121 C
22 C 72 A 122 C
23 A 73 A 123 B
24 A 74 D 124 B
25 C 75 C 125 A
26 B 76 A 126 D
27 C 77 B 127 B
28 B 78 A 128 C
29 B 79 B 129 B
30 C 80 B 130 B
31 A 81 B 131 D
32 A 82 C 132 C
33 B 83 D 133 B
34 C 84 D 134 A
35 D 85 B 135 B
36 D 86 C 136 A
37 B 87 B 137 A
38 C 88 C 138 B
39 C 89 D 139 C
40 A 90 C 140 B
41 D 91 C 141 C
42 C 92 C 142 C
43 A 93 D 143 A
44 B 94 B 144 A
45 C 95 B 145 B
46 B 96 C 146 A
47 A 97 B 147 C
48 A 98 A 148 A
49 D 99 C 149 D
50 B 100 D 150 A
  lfEefyr jkT; flfoy@izoj v/khuLFk lsok ¼izkjfEHkd½ ijh{kk&2025
izFke iz'ui=& lkekU; v/;;u
Provisional Answer Key Series B
1 C 51 C 101 B
2 C 52 D 102 C
3 A 53 C 103 B
4 D 54 D 104 C
5 C 55 C 105 C
6 A 56 D 106 A
7 B 57 B 107 A
8 C 58 B 108 B
9 B 59 C 109 A
10 A 60 B 110 C
11 A 61 A 111 A
12 D 62 C 112 D
13 B 63 D 113 A
14 B 64 C 114 A
15 B 65 B 115 C
16 A 66 A 116 A
17 A 67 D 117 C
18 A 68 B 118 D
19 B 69 C 119 C
20 C 70 C 120 A
21 A 71 A 121 D
22 A 72 D 122 B
23 A 73 A 123 C
24 C 74 C 124 A
25 C 75 B 125 B
26 A 76 C 126 A
27 B 77 B 127 C
28 B 78 C 128 A
29 B 79 C 129 C
30 B 80 C 130 B
31 C 81 C 131 B
32 C 82 B 132 B
33 C 83 A 133 C
34 A 84 C 134 A
35 C 85 C 135 C
36 A 86 B 136 A
37 D 87 D 137 A
38 C 88 A 138 C
39 A 89 D 139 B
40 B 90 B 140 C
41 A 91 C 141 A
42 B 92 B 142 B
43 B 93 B 143 C
44 B 94 D 144 A
45 C 95 C 145 A
46 A 96 B 146 B
47 D 97 A 147 C
48 B 98 B 148 D
49 C 99 A 149 D
50 B 100 B 150 B
  lfEefyr jkT; flfoy@izoj v/khuLFk lsok ¼izkjfEHkd½ ijh{kk&2025
izFke iz'ui=& lkekU; v/;;u
Provisional Answer Key Series C
1 A 51 C 101 A
2 B 52 B 102 C
3 B 53 C 103 A
4 B 54 C 104 C
5 B 55 C 105 B
6 C 56 C 106 B
7 C 57 B 107 B
8 C 58 A 108 B
9 A 59 C 109 A
10 C 60 C 110 C
11 C 61 B 111 A
12 D 62 D 112 A
13 C 63 B 113 C
14 A 64 D 114 B
15 B 65 B 115 C
16 A 66 C 116 A
17 B 67 B 117 C
18 B 68 B 118 C
19 B 69 D 119 A
20 C 70 C 120 A
21 A 71 B 121 B
22 A 72 A 122 C
23 B 73 B 123 D
24 C 74 A 124 D
25 B 75 B 125 B
26 C 76 A 126 B
27 D 77 C 127 C
28 C 78 B 128 A
29 D 79 C 129 D
30 D 80 C 130 C
31 D 81 A 131 A
32 B 82 A 132 B
33 B 83 B 133 C
34 C 84 A 134 B
35 B 85 C 135 A
36 A 86 A 136 A
37 C 87 D 137 D
38 D 88 A 138 B
39 C 89 A 139 B
40 C 90 B 140 C
41 A 91 A 141 A
42 D 92 C 142 A
43 B 93 D 143 A
44 C 94 C 144 B
45 C 95 A 145 C
46 A 96 D 146 A
47 D 97 B 147 A
48 A 98 C 148 A
49 C 99 A 149 C
50 B 100 C 150 B
  lfEefyr jkT; flfoy@izoj v/khuLFk lsok ¼izkjfEHkd½ ijh{kk&2025
izFke iz'ui=& lkekU; v/;;u
Provisional Answer Key Series D
